name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Bogota,2013-01-01,20.4,6,13.2,20.4,4.4,12.8,5.3,64,0,0,0,,0,0,,21.6,90.2,1025.7,29.4,10.7,285.9,24.7,10,,2013-01-01T06:04:14,2013-01-01T17:55:50,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-01-02,21.2,5,13,21.2,4.2,12.6,5.8,65.6,0,0,0,,0,0,,22.1,74.9,1025.2,39.8,11.7,273.7,23.5,9,,2013-01-02T06:04:40,2013-01-02T17:56:20,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-01-03,21.1,4,12.6,21.1,2.6,12.3,7.5,75.5,0,0,0,,0,0,,25.1,48.5,1026.4,39.1,11,248.2,21.5,8,,2013-01-03T06:05:06,2013-01-03T17:56:50,0.72,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-01-04,21.3,5,13.3,21.3,5,13.2,7.9,74,0,0,0,,0,0,,21.9,164.2,1027,38.8,11,291.8,25.2,10,,2013-01-04T06:05:31,2013-01-04T17:57:19,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-01-05,21.3,4.1,13.6,21.3,4.1,13.5,6.4,66.5,0,0,0,,0,0,,21.9,84.1,1026.7,46.5,11.3,272.6,23.7,9,,2013-01-05T06:05:55,2013-01-05T17:57:49,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-01-06,21.3,3.4,12.4,21.3,1.4,11.9,5.8,69.2,0,0,0,,0,0,,25.3,83.2,1025.6,40.5,10.5,306.8,26.3,10,,2013-01-06T06:06:19,2013-01-06T17:58:17,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-01-07,21.3,2,11.9,21.3,-0.2,11.4,4.6,68.9,0,0,0,,0,0,,28.9,103,1024.7,35,11.1,309.7,26.6,10,,2013-01-07T06:06:42,2013-01-07T17:58:46,0.86,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-01-08,19.4,5,12.9,19.4,3.4,12.7,5.9,65.9,0,0,0,,0,0,40.7,27.6,109,1025.4,48.1,11.3,285.9,24.6,10,,2013-01-08T06:07:04,2013-01-08T17:59:14,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-01-09,18.7,5,13.2,18.7,3.6,13.1,7.6,70.9,0,0,0,,0,0,,32.4,89.8,1026.1,57.4,12.1,236.6,20.4,8,,2013-01-09T06:07:26,2013-01-09T17:59:42,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-01-10,22.5,8,14.8,22.5,6.4,14.7,8.5,69.3,0,0,0,,0,0,,28.7,55.3,1025.7,52.6,11.7,209.1,18.1,7,,2013-01-10T06:07:47,2013-01-10T18:00:09,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-01-11,22,1.1,13.5,22,-0.6,13.3,7.1,74.6,0,0,0,,0,0,,22.3,317.2,1024.7,51.9,10.4,254.8,22.2,10,,2013-01-11T06:08:08,2013-01-11T18:00:36,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"80222099999,SKBO,80234099999,remote"
Bogota,2013-01-12,19.1,6,13.4,19.1,5.1,13.2,9.2,78.2,0,0,0,,0,0,,25.6,262.8,1024.2,67.2,10.4,261.5,22.6,9,,2013-01-12T06:08:27,2013-01-12T18:01:03,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"80222099999,SKBO,80234099999,remote"
