datetime,tempmax,tempmin,temp,humidity,precip,windspeed,solarradiation
2010-06-01,20.3,11.0,15.5,79.1,9.9,88.5,175.3
2010-06-02,19.3,11.9,15.2,84.7,26.9,18.4,220.7
2010-06-03,18.0,9.8,13.6,80.8,5.9,21.7,279.4
2010-06-04,19.6,10.0,14.6,76.6,6.5,21.8,167.7
2010-06-05,20.3,10.0,15.3,71.2,0.3,21.7,252.9
2010-06-06,20.2,10.0,14.2,77.2,3.5,25.5,183.2
2010-06-07,19.3,9.0,14.2,74.4,0.3,25.3,267.5
2010-06-08,19.0,8.0,13.5,80.8,4.2,25.5,196.3
2010-06-09,20.1,11.0,14.4,80.6,22.5,27.5,174.3
2010-06-10,18.1,10.8,13.9,81.9,9.3,27.7,256.8
2010-06-11,20.1,8.9,13.4,85.6,1.0,29.5,217.3
2010-06-12,20.1,5.1,13.0,84.7,2.5,25.9,221.4
2010-06-13,20.0,9.1,13.8,82.4,0.1,25.9,227.6
2010-06-14,19.0,9.0,13.2,89.3,0.0,18.4,253.1
2010-06-15,18.0,10.0,13.7,84.8,12.4,21.7,218.9
2010-06-16,22.7,12.0,14.5,85.6,10.5,14.6,211.8
2010-06-17,20.3,7.2,14.3,80.9,0.5,18.0,258.1
2010-06-18,19.3,10.9,14.7,79.7,4.1,18.4,217.3
2010-06-19,20.3,8.3,14.8,79.2,7.0,17.5,241.7
2010-06-20,13.8,10.8,12.1,94.6,14.2,21.3,129.7
2010-06-21,19.3,10.0,13.4,88.3,3.3,14.6,152.0
2010-06-22,18.4,10.0,13.8,85.4,2.3,22.0,134.8
2010-06-23,21.1,8.5,15.0,79.0,10.0,28.1,227.7
2010-06-24,20.9,12.0,15.2,82.5,0.8,16.2,213.5
2010-06-25,18.1,11.0,14.2,82.9,11.9,16.3,229.1
2010-06-26,20.3,11.0,15.5,73.5,2.1,21.8,168.0
2010-06-27,19.3,11.0,14.8,78.1,0.0,28.9,196.3
2010-06-28,20.1,9.8,13.7,86.0,7.7,18.2,189.6
2010-06-29,18.3,10.0,13.4,80.5,2.1,22.0,193.7
2010-06-30,18.3,7.0,12.9,83.8,0.4,22.3,209.0
2010-07-01,18.3,9.0,12.5,88.8,42.4,17.8,173.9
2010-07-02,17.4,8.0,13.0,87.8,8.9,14.5,197.9
2010-07-03,19.3,8.3,14.1,79.2,23.2,18.2,204.3
2010-07-04,18.3,10.0,14.3,83.7,18.7,16.7,190.5
2010-07-05,18.4,11.0,14.1,87.6,3.4,14.6,107.5
